code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00604,30.0,20,1,20,1.0
HK.00605,41.0,25,1,12,0.8
HK.00606,47.0,53,0,0,0.3
HK.00607,17.0,2,1,70,1.0
HK.00608,35.0,32,0,0,0.65
HK.00609,38.0,60,0,0,0.5
HK.00610,73.0,67,0,0,0.25
HK.00611,41.0,32,1,1,0.8
HK.00613,96.0,90,0,0,0.45
HK.00616,1.0,9,1,7,0.45
HK.00617,43.0,72,1,5,0.25
HK.00618,81.0,16,1,9,0.85
HK.00619,53.0,52,0,0,0.55
HK.00620,5.0,15,1,4,0.7
HK.00621,38.0,13,1,5,0.65
HK.00622,97.0,88,0,0,0.15
HK.00623,76.0,72,0,0,0.2
HK.00626,91.0,96,0,0,0.0
HK.00627,84.0,95,0,0,0.35
HK.00628,75.0,20,0,0,0.8
HK.00629,65.0,68,0,0,0.45
HK.00630,35.0,96,0,0,0.2
HK.00631,72.0,55,1,7,0.35
HK.00632,7.0,24,0,0,0.6
HK.00635,71.0,76,0,0,0.0
HK.00636,46.0,60,1,2,0.35
HK.00637,59.0,65,0,0,0.35
HK.00639,76.0,83,1,5,0.25
HK.00640,60.0,47,0,0,0.6
HK.00641,80.0,51,0,0,0.35
HK.00643,21.0,47,1,24,1.0
HK.00645,90.0,87,0,0,0.25
HK.00646,93.0,98,0,0,0.1
HK.00648,0.0,2,1,61,1.0
HK.00650,13.0,11,1,4,0.95
HK.00653,93.0,97,1,5,0.25
HK.00655,86.0,39,1,7,0.8
HK.00656,76.0,66,1,4,0.35
HK.00657,84.0,94,0,0,0.3
HK.00658,16.0,25,1,1,0.75
HK.00659,78.0,72,0,0,0.1
HK.00660,90.0,15,1,3,0.45
HK.00661,92.0,87,0,0,0.45
HK.00662,65.0,49,1,5,0.45
HK.00664,,8,1,4,0.95
HK.00666,8.0,6,1,30,1.0
HK.00667,21.0,23,1,13,0.9
HK.00669,82.0,40,1,8,0.95
HK.00670,15.0,9,1,36,1.0
HK.00672,10.0,9,1,9,0.95
HK.00673,8.0,29,0,0,0.9
HK.00674,12.0,76,1,1,0.25
HK.00675,54.0,48,0,0,0.55
HK.00676,65.0,60,0,0,0.15
HK.00677,73.0,78,0,0,0.1
HK.00679,97.0,44,1,2,0.65
HK.00681,47.0,51,0,0,0.3
HK.00682,30.0,50,0,0,0.4
HK.00683,46.0,30,0,0,0.95
HK.00684,28.0,55,1,2,0.45
HK.00685,45.0,51,1,1,0.25
HK.00686,8.0,6,1,42,1.0
HK.00687,82.0,86,0,0,0.0
HK.00688,66.0,32,0,0,0.85
HK.00689,30.0,41,0,0,0.75
HK.00690,12.0,71,0,0,0.3
HK.00691,6.0,34,1,1,0.5
HK.00693,64.0,68,0,0,0.3
HK.00694,24.0,25,1,22,1.0
HK.00695,76.0,33,1,5,0.9
HK.00696,52.0,60,0,0,0.0
HK.00697,17.0,10,1,28,1.0
HK.00698,41.0,87,0,0,0.1
HK.00700,38.0,47,0,0,0.7
HK.00701,7.0,38,0,0,0.45
HK.00702,62.0,58,0,0,0.15
HK.00703,22.0,13,1,1,0.6
HK.00704,86.0,58,0,0,0.15
HK.00707,62.0,58,0,0,0.15
HK.00708,62.0,58,0,0,0.15
HK.00709,56.0,52,0,0,0.3
HK.00710,49.0,48,0,0,0.35
HK.00711,72.0,72,0,0,0.15
HK.00712,15.0,61,1,1,0.65
HK.00713,29.0,34,1,2,0.8
HK.00716,17.0,18,1,11,0.85
HK.00717,15.0,24,1,11,0.7
HK.00718,44.0,77,0,0,0.1
HK.00719,56.0,60,0,0,0.75
HK.00720,71.0,25,1,13,0.75
HK.00722,43.0,30,0,0,0.75
HK.00723,71.0,75,0,0,0.0
HK.00725,82.0,66,1,3,0.3
HK.00726,49.0,75,0,0,0.7
HK.00727,6.0,7,1,2,0.7
HK.00728,51.0,42,1,6,0.45
HK.00730,54.0,62,0,0,0.4
HK.00731,73.0,8,1,5,0.8
HK.00732,29.0,31,1,8,0.55
HK.00733,20.0,25,1,26,1.0
HK.00736,19.0,94,0,0,0.15
HK.00737,76.0,77,0,0,0.0
HK.00738,82.0,77,1,3,0.2
HK.00743,27.0,6,1,1,0.15
HK.00745,98.0,69,0,0,0.75
HK.00746,51.0,50,1,2,0.55
HK.00747,74.0,86,0,0,0.35
HK.00750,30.0,38,0,0,0.85
HK.00751,21.0,5,1,30,1.0
HK.00752,40.0,33,1,28,1.0
HK.00753,18.0,22,0,0,0.85
HK.00754,46.0,58,0,0,0.15
HK.00755,42.0,73,0,0,0.5
HK.00756,94.0,97,0,0,0.0
HK.00757,15.0,22,1,11,0.8
HK.00759,39.0,31,1,1,0.95
HK.00760,16.0,30,1,15,0.95
HK.00762,22.0,27,1,6,0.7
HK.00763,41.0,33,1,4,0.95
HK.00764,4.0,16,1,8,0.65
HK.00765,30.0,90,0,0,0.05
HK.00767,53.0,75,0,0,0.05
HK.00769,62.0,58,0,0,0.15
HK.00771,60.0,64,0,0,0.3
HK.00772,21.0,44,1,2,0.7
HK.00775,24.0,28,0,0,0.85
HK.00776,1.0,21,1,1,0.75
HK.00777,55.0,73,0,0,0.1
HK.00780,7.0,7,1,34,1.0
HK.00784,98.0,26,1,11,0.55
HK.00788,43.0,46,0,0,0.35
HK.00789,8.0,45,0,0,0.5
HK.00794,90.0,91,0,0,0.05
HK.00797,90.0,24,1,4,0.2
HK.00798,27.0,49,0,0,0.7
HK.00799,64.0,42,1,2,0.65
HK.00800,,54,0,0,0.55
HK.00804,98.0,98,0,0,0.0
HK.00805,99.0,93,0,0,0.3
HK.00806,43.0,46,0,0,0.4
HK.00807,44.0,46,1,5,0.7
HK.00809,16.0,47,0,0,0.75
HK.00811,40.0,38,0,0,0.8
HK.00813,1.0,1,1,21,1.0
HK.00814,59.0,73,0,0,0.1
HK.00815,6.0,11,1,20,1.0
HK.00816,45.0,43,1,9,0.75
HK.00817,49.0,11,1,20,1.0
HK.00818,16.0,25,1,3,0.65
HK.00819,10.0,9,1,41,1.0
HK.00821,84.0,94,0,0,0.2
HK.00822,36.0,12,1,59,1.0
HK.00825,42.0,61,0,0,0.3
HK.00826,55.0,44,1,3,0.2
HK.00827,73.0,34,0,0,0.6
HK.00828,22.0,43,0,0,0.85
HK.00829,79.0,96,0,0,0.05
HK.00830,26.0,46,1,2,0.15
HK.00831,85.0,81,0,0,0.1
HK.00832,13.0,37,0,0,0.6
HK.00833,34.0,4,1,37,1.0
HK.00834,46.0,40,1,5,0.85
HK.00836,75.0,65,0,0,0.05
HK.00837,36.0,30,1,9,0.85
HK.00838,36.0,31,0,0,0.95
HK.00839,26.0,63,0,0,0.05
HK.00840,14.0,9,1,2,0.5
HK.00841,53.0,61,0,0,0.5
HK.00842,22.0,10,1,16,0.8
HK.00844,39.0,26,1,4,0.25
HK.00845,62.0,58,0,0,0.15
HK.00846,26.0,46,0,0,0.4
