code,rs_percentile_12m,rs_percentile_3m
HK.01247,5.0,24
HK.01250,17.0,56
HK.01251,16.0,16
HK.01252,45.0,57
HK.01253,19.0,76
HK.01255,94.0,4
HK.01257,49.0,49
HK.01258,81.0,83
HK.01259,52.0,20
HK.01260,35.0,37
HK.01262,88.0,74
HK.01265,31.0,50
HK.01268,1.0,2
HK.01269,87.0,94
HK.01270,52.0,34
HK.01271,4.0,45
HK.01272,70.0,77
HK.01273,85.0,69
HK.01274,3.0,3
HK.01276,20.0,11
HK.01277,86.0,79
HK.01278,45.0,68
HK.01280,83.0,98
HK.01281,46.0,42
HK.01282,70.0,96
HK.01283,76.0,85
HK.01284,90.0,92
HK.01285,93.0,97
HK.01286,87.0,31
HK.01288,81.0,75
HK.01289,51.0,46
HK.01290,75.0,75
HK.01292,12.0,35
HK.01293,65.0,57
HK.01298,74.0,62
HK.01299,69.0,73
HK.01300,98.0,97
HK.01301,24.0,26
HK.01302,32.0,46
HK.01303,19.0,13
HK.01304,53.0,55
HK.01305,79.0,85
HK.01308,92.0,91
HK.01310,48.0,30
HK.01312,79.0,82
HK.01313,16.0,25
HK.01314,82.0,77
HK.01315,15.0,37
HK.01316,46.0,55
HK.01317,15.0,55
HK.01318,13.0,25
HK.01319,77.0,70
HK.01321,83.0,75
HK.01323,86.0,42
HK.01326,51.0,57
HK.01327,96.0,89
HK.01328,30.0,14
HK.01330,82.0,88
HK.01332,81.0,70
HK.01333,7.0,43
HK.01334,41.0,8
HK.01335,32.0,32
HK.01336,60.0,55
HK.01338,53.0,81
HK.01339,63.0,85
HK.01340,76.0,30
HK.01341,2.0,32
HK.01343,91.0,94
HK.01345,71.0,60
HK.01346,56.0,42
HK.01347,86.0,9
HK.01348,68.0,30
HK.01349,49.0,63
HK.01351,13.0,16
HK.01354,50.0,93
HK.01355,90.0,84
HK.01357,13.0,23
HK.01358,26.0,33
HK.01359,28.0,36
HK.01361,50.0,60
HK.01362,90.0,52
HK.01364,61.0,46
HK.01368,27.0,64
HK.01370,41.0,95
HK.01371,9.0,70
HK.01372,77.0,71
HK.01373,45.0,44
HK.01375,32.0,43
HK.01376,24.0,57
HK.01378,33.0,41
HK.01379,10.0,51
HK.01380,39.0,3
HK.01382,38.0,49
HK.01384,,7
HK.01385,25.0,45
HK.01388,20.0,44
HK.01389,88.0,62
HK.01393,3.0,2
HK.01395,37.0,79
HK.01396,90.0,61
HK.01397,17.0,19
HK.01398,83.0,73
HK.01399,90.0,65
HK.01400,85.0,90
HK.01401,6.0,29
HK.01402,96.0,98
HK.01405,7.0,8
HK.01406,65.0,57
HK.01407,82.0,89
HK.01408,90.0,87
HK.01410,92.0,67
HK.01412,40.0,50
HK.01413,36.0,87
HK.01415,38.0,46
HK.01416,69.0,56
HK.01417,99.0,39
HK.01418,8.0,4
HK.01419,50.0,66
HK.01420,86.0,92
HK.01421,88.0,77
HK.01425,63.0,60
HK.01427,34.0,38
HK.01428,34.0,65
HK.01429,94.0,92
HK.01431,77.0,90
HK.01432,71.0,61
HK.01433,47.0,57
HK.01440,90.0,92
HK.01442,40.0,49
HK.01443,80.0,94
HK.01446,24.0,18
HK.01447,70.0,30
HK.01448,55.0,57
HK.01449,98.0,99
HK.01450,40.0,35
HK.01451,75.0,72
HK.01452,93.0,89
HK.01455,78.0,75
HK.01456,29.0,42
HK.01458,31.0,35
HK.01459,32.0,23
HK.01460,44.0,46
HK.01461,78.0,81
HK.01463,90.0,90
HK.01466,96.0,96
HK.01468,2.0,47
HK.01470,57.0,34
HK.01471,5.0,15
HK.01472,85.0,39
HK.01473,94.0,12
HK.01475,62.0,63
HK.01476,29.0,53
HK.01477,34.0,46
HK.01478,6.0,4
HK.01480,24.0,17
HK.01481,81.0,49
HK.01483,72.0,66
HK.01486,20.0,24
HK.01488,89.0,92
HK.01489,99.0,99
HK.01490,82.0,67
HK.01496,84.0,90
HK.01497,70.0,85
HK.01498,29.0,42
HK.01499,17.0,72
HK.01500,97.0,96
HK.01501,77.0,77
HK.01502,54.0,41
HK.01508,46.0,65
HK.01511,,17
HK.01513,26.0,10
HK.01515,44.0,40
HK.01516,21.0,50
HK.01518,2.0,8
HK.01519,59.0,36
HK.01520,47.0,95
HK.01521,62.0,35
HK.01522,21.0,27
HK.01523,69.0,36
HK.01525,61.0,54
HK.01526,61.0,17
HK.01527,75.0,93
HK.01528,33.0,45
